iter	Passed	Remaining
0	148	147949
1	149	74540
2	150	49933
3	151	37618
4	152	30259
5	153	25375
6	154	21871
7	155	19255
8	156	17185
9	156	15535
10	158	14209
11	159	13113
12	160	12157
13	161	11351
14	162	10681
15	163	10059
16	164	9528
17	165	9049
18	166	8604
19	167	8205
20	168	7847
21	169	7523
22	170	7233
23	171	6959
24	171	6707
25	172	6477
26	174	6283
27	175	6081
28	176	5897
29	177	5723
30	177	5563
31	179	5432
32	180	5299
33	181	5164
34	182	5035
35	183	4916
36	184	4801
37	185	4692
38	186	4588
39	187	4490
40	188	4400
41	189	4311
42	189	4224
43	190	4144
44	191	4071
45	192	4001
46	194	3939
47	195	3867
48	195	3800
49	196	3738
50	197	3679
51	198	3622
52	199	3564
53	200	3509
54	201	3456
55	201	3404
56	202	3355
57	203	3306
58	204	3260
59	205	3217
60	206	3175
61	207	3142
62	208	3101
63	209	3067
64	210	3029
65	211	2992
66	212	2961
67	213	2928
68	214	2894
69	215	2862
70	216	2828
71	216	2796
72	217	2764
73	218	2733
74	219	2703
75	220	2675
76	220	2648
77	221	2620
78	222	2596
79	223	2571
80	224	2546
81	225	2522
82	225	2494
83	226	2469
84	227	2447
85	228	2425
86	228	2402
87	230	2384
88	231	2365
89	231	2344
90	232	2322
91	233	2302
92	234	2283
93	235	2265
94	235	2246
95	236	2231
96	237	2212
97	238	2194
98	239	2176
99	239	2159
100	240	2141
101	241	2124
102	242	2107
103	242	2091
104	243	2075
105	244	2061
106	245	2046
107	245	2030
108	246	2015
109	247	2000
110	248	1988
111	249	1976
112	250	1962
113	250	1950
114	251	1936
115	252	1923
116	252	1908
117	253	1896
118	254	1883
119	255	1870
120	255	1857
121	256	1844
122	256	1832
123	257	1821
124	258	1809
125	259	1797
126	259	1785
127	260	1774
128	261	1764
129	261	1753
130	262	1742
131	263	1731
132	263	1720
133	264	1710
134	265	1699
135	265	1689
136	266	1679
137	267	1670
138	268	1660
139	268	1650
140	269	1641
141	269	1630
142	270	1621
143	271	1612
144	272	1603
145	272	1595
146	273	1586
147	274	1577
148	274	1568
149	275	1560
150	276	1553
151	276	1544
152	277	1536
153	278	1527
154	278	1519
155	279	1511
156	280	1503
157	280	1495
158	281	1488
159	281	1480
160	282	1471
161	282	1463
162	283	1455
163	284	1448
164	284	1441
165	285	1433
166	285	1426
167	286	1419
168	287	1412
169	287	1405
170	288	1398
171	289	1391
172	289	1385
173	290	1378
174	290	1371
175	291	1364
176	292	1358
177	292	1351
178	293	1345
179	293	1338
180	294	1332
181	295	1326
182	295	1319
183	296	1313
184	296	1307
185	297	1301
186	297	1295
187	298	1289
188	299	1285
189	300	1279
190	300	1274
191	301	1268
192	302	1263
193	302	1258
194	303	1252
195	304	1247
196	304	1242
197	305	1236
198	305	1231
199	306	1225
200	307	1220
201	307	1215
202	308	1210
203	308	1205
204	309	1200
205	310	1195
206	310	1189
207	311	1185
208	311	1180
209	312	1175
210	313	1170
211	313	1165
212	314	1160
213	314	1156
214	315	1151
215	315	1146
216	316	1142
217	317	1137
218	317	1133
219	318	1128
220	318	1124
221	319	1119
222	320	1115
223	320	1111
224	321	1106
225	321	1102
226	322	1098
227	323	1094
228	323	1090
229	324	1085
230	324	1081
231	325	1077
232	326	1073
233	326	1069
234	327	1065
235	327	1061
236	328	1057
237	328	1053
238	329	1049
239	330	1046
240	331	1042
241	331	1039
242	332	1035
243	333	1031
244	333	1028
245	334	1024
246	334	1020
247	335	1016
248	335	1013
249	336	1009
250	337	1005
251	337	1002
252	338	998
253	338	995
254	339	991
255	340	988
256	340	984
257	341	981
258	341	977
259	342	974
260	343	971
261	343	967
262	344	964
263	344	961
264	345	957
265	345	954
266	346	951
267	347	948
268	347	945
269	348	941
270	348	938
271	349	935
272	350	932
273	350	929
274	351	926
275	351	923
276	353	921
277	353	919
278	354	916
279	355	913
280	355	910
281	356	907
282	357	904
283	357	902
284	358	899
285	359	896
286	359	894
287	360	891
288	361	888
289	361	885
290	362	883
291	363	880
292	363	877
293	364	874
294	364	871
295	365	869
